p_leak,tau,lens_type,lens_id,rm,stability,error
0.1,1,random,32,0.01,0.5,0.475
0.1,1,random,33,0.05,0.5,0.495
0.1,1,random,34,0,0.9,0.1
0.1,1,random,35,0.01,0.5,0.475
0.1,1,random,36,0,0.9,0.1
0.1,1,random,37,0.01,0.5,0.475
0.1,1,random,38,0.05,0.5,0.495
0.1,1,random,39,0.05,0.5,0.495
0.1,1,random,4,0.01,0.5,0.475
0.1,1,random,40,0.01,0.5,0.475
0.1,1,random,41,0.05,0.5,0.495
0.1,1,random,42,0,0.9,0.1
0.1,1,random,43,0.01,0.5,0.475
0.1,1,random,44,0,0.9,0.1
0.1,1,random,45,0.01,0.5,0.475
0.1,1,random,46,0,0.9,0.1
0.1,1,random,47,0.05,0.5,0.495
0.1,1,random,48,0.01,0.5,0.475
0.1,1,random,49,0.01,0.5,0.475
0.1,1,random,5,0.01,0.5,0.475
0.1,1,random,50,0,0.9,0.1
0.1,1,random,51,0.05,0.5,0.495
0.1,1,random,52,0.01,0.5,0.475
0.1,1,random,53,0,0.9,0.1
0.1,1,random,54,0.01,0.5,0.475
0.1,1,random,55,0.05,0.5,0.495
0.1,1,random,56,0.01,0.5,0.475
0.1,1,random,57,0.05,0.5,0.495
0.1,1,random,58,0.05,0.5,0.495
0.1,1,random,59,0,0.9,0.1
0.1,1,random,6,0.05,0.5,0.495
0.1,1,random,7,0.01,0.5,0.475
0.1,1,random,8,0,0.9,0.1
0.1,1,random,9,0.01,0.5,0.475
0.1,2,and,,0.202666666667,0.696,0.310666666667
0.1,2,parity,,6.93889390391e-17,0.82,0.18
0.1,2,random,0,6.93889390391e-17,0.82,0.18
0.1,2,random,1,0.04,0.5,0.495
0.1,2,random,10,6.93889390391e-17,0.82,0.18
0.1,2,random,11,6.93889390391e-17,0.82,0.18
0.1,2,random,12,0.008,0.5,0.475
0.1,2,random,13,0.008,0.5,0.475
0.1,2,random,14,0.008,0.5,0.475
0.1,2,random,15,0.04,0.5,0.495
0.1,2,random,16,0.04,0.5,0.495
0.1,2,random,17,6.93889390391e-17,0.82,0.18
0.1,2,random,18,0.04,0.5,0.495
0.1,2,random,19,0.008,0.5,0.475
0.1,2,random,2,0.008,0.5,0.475
0.1,2,random,20,0.008,0.5,0.475
0.1,2,random,21,0.04,0.5,0.495
0.1,2,random,22,6.93889390391e-17,0.82,0.18
0.1,2,random,23,0.008,0.5,0.475
0.1,2,random,24,6.93889390391e-17,0.82,0.18
0.1,2,random,25,0.04,0.5,0.495
0.1,2,random,26,0.008,0.5,0.475
0.1,2,random,27,0.008,0.5,0.475
0.1,2,random,28,6.93889390391e-17,0.82,0.18
0.1,2,random,29,0.008,0.5,0.475
0.1,2,random,3,0.04,0.5,0.495
0.1,2,random,30,0.04,0.5,0.495
0.1,2,random,31,0.04,0.5,0.495
0.1,2,random,32,0.008,0.5,0.475
0.1,2,random,33,0.008,0.5,0.475
0.1,2,random,34,0.008,0.5,0.475
0.1,2,random,35,0.008,0.5,0.475
0.1,2,random,36,0.04,0.5,0.495
0.1,2,random,37,0.04,0.5,0.495
0.1,2,random,38,0.04,0.5,0.495
0.1,2,random,39,0.04,0.5,0.495
0.1,2,random,4,0.04,0.5,0.495
0.1,2,random,40,0.008,0.5,0.475
0.1,2,random,41,0.04,0.5,0.495
0.1,2,random,42,0.04,0.5,0.495
0.1,2,random,43,0.008,0.5,0.475
0.1,2,random,44,0.04,0.5,0.495
0.1,2,random,45,0.04,0.5,0.495
0.1,2,random,46,6.93889390391e-17,0.82,0.18
0.1,2,random,47,0.008,0.5,0.475
0.1,2,random,48,0.04,0.5,0.495
0.1,2,random,49,0.04,0.5,0.495
0.1,2,random,5,6.93889390391e-17,0.82,0.18
0.1,2,random,50,0.04,0.5,0.495
0.1,2,random,51,0.008,0.5,0.475
0.1,2,random,52,0.04,0.5,0.495
0.1,2,random,53,0.04,0.5,0.495
0.1,2,random,54,6.93889390391e-17,0.82,0.18
0.1,2,random,55,6.93889390391e-17,0.82,0.18
0.1,2,random,56,0.008,0.5,0.475
0.1,2,random,57,6.93889390391e-17,0.82,0.18
0.1,2,random,58,6.93889390391e-17,0.82,0.18
0.1,2,random,59,6.93889390391e-17,0.82,0.18
0.1,2,random,6,6.93889390391e-17,0.82,0.18
0.1,2,random,7,0.008,0.5,0.475
0.1,2,random,8,6.93889390391e-17,0.82,0.18
0.1,2,random,9,0.04,0.5,0.495
0.1,4,and,,0.129706666667,0.66864,0.292426666667
0.1,4,parity,,8.32667268469e-17,0.7048,0.2952
0.1,4,random,0,8.32667268469e-17,0.7048,0.2952
0.1,4,random,1,8.32667268469e-17,0.7048,0.2952
0.1,4,random,10,8.32667268469e-17,0.7048,0.2952
0.1,4,random,11,0.00512,0.5,0.475
0.1,4,random,12,0.00512,0.5,0.475
0.1,4,random,13,8.32667268469e-17,0.7048,0.2952
0.1,4,random,14,0.00512,0.5,0.475
0.1,4,random,15,8.32667268469e-17,0.7048,0.2952
0.1,4,random,16,0.00512,0.5,0.475
0.1,4,random,17,0.00512,0.5,0.475
0.1,4,random,18,8.32667268469e-17,0.7048,0.2952
0.1,4,random,19,0.0256,0.5,0.495
0.1,4,random,2,0.0256,0.5,0.495
0.1,4,random,20,8.32667268469e-17,0.7048,0.2952
0.1,4,random,21,0.0256,0.5,0.495
0.1,4,random,22,0.0256,0.5,0.495
0.1,4,random,23,0.0256,0.5,0.495
0.1,4,random,24,0.00512,0.5,0.475
0.1,4,random,25,8.32667268469e-17,0.7048,0.2952
0.1,4,random,26,8.32667268469e-17,0.7048,0.2952
0.1,4,random,27,8.32667268469e-17,0.7048,0.2952
0.1,4,random,28,8.32667268469e-17,0.7048,0.2952
0.1,4,random,29,0.00512,0.5,0.475
0.1,4,random,3,0.00512,0.5,0.475
0.1,4,random,30,8.32667268469e-17,0.7048,0.2952
0.1,4,random,31,0.00512,0.5,0.475
0.1,4,random,32,8.32667268469e-17,0.7048,0.2952
0.1,4,random,33,0.0256,0.5,0.495
